patient_id,split,n_frames,verdict,note,dice
P000,test,147,unjudgeable,용적이 작아 사람도 정확히 판단 불가,0.258
P001,test,144,unjudgeable,,0.624
P002,train,97,label_ok,,
P003,train,200,label_wrong,,
P004,train,67,label_ok,,
P005,train,98,label_ok,,
P006,train,132,label_wrong,,
P007,train,135,unjudgeable,,
P008,train,183,label_wrong,,
P009,train,139,label_ok,,
P010,val,176,label_wrong,,
P011,test,200,label_wrong,,0.596
P012,test,147,unjudgeable,,0.859
P013,train,216,label_wrong,,
P014,val,229,label_wrong,데이터 품질 및 라벨 불량 — 사람 검토 2026-08-25,
P015,train,129,label_wrong,,
P016,train,139,label_ok,,
P017,train,200,unjudgeable,,
P018,train,90,label_ok,,
P019,test,122,label_wrong,,0.584
P020,test,103,label_wrong,데이터 품질 및 라벨 불량 — 사람 검토 2026-08-25,0.853
P021,test,200,label_wrong,라벨이 영상 구조를 따르지 않음. 사람 직접 검토 2026-08-25,0.256
P022,val,216,label_ok,,0.564
P023,train,131,label_ok,,
P024,train,131,label_ok,,
P025,val,211,unjudgeable,,0.647
P026,train,101,label_ok,,
P027,train,123,unjudgeable,,
P028,train,139,label_ok,,
P029,val,105,label_ok,,0.891
P030,train,168,label_ok,,
P031,train,100,label_ok,,
P032,val,228,label_ok,,0.821
P033,train,188,unjudgeable,,
P034,train,158,unjudgeable,,
P035,train,161,label_wrong,,
P036,val,104,label_wrong,,
P037,train,111,unjudgeable,,
P038,train,174,unjudgeable,,
P039,train,98,label_wrong,,
P040,test,121,label_ok,,0.907
P041,test,128,label_ok,,0.921
P042,val,90,unjudgeable,,
P043,test,100,label_wrong,아예 잘못됨. 방광 추정부와 비방광부가 한 라벨에 섞여 있어 Dice 자체가 무의미,0.398
P044,train,212,label_ok,,
P045,train,80,label_ok,,
P046,train,46,label_ok,,
P047,train,73,label_wrong,데이터 품질 및 라벨 불량 — 사람 검토 2026-08-25,
P048,train,94,label_wrong,확실히 drop — 사람 검토 2026-08-25,
P049,train,108,label_ok,,
P050,train,89,label_ok,,
P051,train,112,label_ok,,
P052,train,94,unjudgeable,,
P053,train,183,unjudgeable,,
P054,train,171,label_ok,,
P055,train,229,label_wrong,,
P056,train,207,label_ok,,
P057,train,98,label_ok,,
P058,train,217,label_ok,,
P059,train,47,label_ok,,
P060,train,163,label_ok,,
P061,train,98,label_ok,,
P062,train,84,label_wrong,데이터 품질 및 라벨 불량 — 사람 검토 2026-08-25,
P063,val,85,label_ok,,0.81
P064,train,200,label_ok,,
P065,train,200,label_ok,,
P066,train,221,label_ok,,
P067,train,207,label_ok,,
P068,train,160,label_ok,,
P069,train,97,label_wrong,데이터 품질 및 라벨 불량 — 사람 검토 2026-08-25,
P070,train,99,label_ok,,
P071,val,146,label_ok,,0.872
P072,train,100,unjudgeable,,
P073,train,145,label_wrong,,
P074,train,209,unjudgeable,,
P075,train,160,label_wrong,,
P076,val,126,label_ok,,0.875
P077,train,154,unjudgeable,,
P078,train,105,label_ok,,
P079,train,107,label_wrong,,
P080,train,89,label_ok,,
P081,train,95,label_ok,,
P082,train,99,label_ok,,
P083,val,130,label_wrong,,
P084,train,122,label_wrong,,
P085,test,81,label_ok,,0.865
P086,train,61,unjudgeable,,
P087,train,125,label_ok,,
P088,train,79,label_ok,,
P089,test,98,label_ok,,0.869
P090,val,125,label_ok,,0.91
P091,train,118,label_ok,,
P092,train,124,label_ok,,
P093,train,79,label_ok,,
P094,train,143,label_ok,,
P095,test,100,label_ok,,0.754
P096,train,204,label_ok,,
P097,test,73,label_ok,,0.785
P098,train,108,label_wrong,,
P099,train,109,unjudgeable,,
P100,train,130,label_ok,,
P101,val,147,label_ok,,
P102,train,137,label_ok,,
P103,train,92,label_ok,,
P104,val,176,label_wrong,,
P105,train,115,label_ok,,
P106,val,182,label_ok,,0.915
P107,train,153,label_ok,,
P108,test,109,label_ok,,0.76
P109,test,144,unjudgeable,,0.856
